entry	type	strength	pos	r1	max_token_score	source_id	source_rows
10 000 mètres	idiom	weak idiom	locution nominale	True	0.995539	ls:fr:node:45641	3
10 kilomètres	idiom	weak idiom	locution nominale	True	0.191719	ls:fr:node:45643	2
100 mètres	idiom	weak idiom	locution nominale	True	0.866799	ls:fr:node:45634	5
1500 mètres	idiom	weak idiom	locution nominale	False	0.14715	ls:fr:node:45640	2
200 mètres	idiom	weak idiom	locution nominale	True	0.969326	ls:fr:node:45637	2
33 tours	idiom	weak idiom	locution nominale	True	0.96985	ls:fr:node:45489	2
400 mètres	idiom	weak idiom	locution nominale	True	0.862476	ls:fr:node:45638	4
45 tours	idiom	weak idiom	locution nominale	True	0.438748	ls:fr:node:45490	2
50 mètres	idiom	weak idiom	locution nominale	False	0.287744	ls:fr:node:48510	2
5000 mètres	idiom	weak idiom	locution nominale	True	0.720216	ls:fr:node:45642	4
78 tours	idiom	weak idiom	locution nominale	True	0.972435	ls:fr:node:45491	2
800 mètres	idiom	weak idiom	locution nominale	True	0.981114	ls:fr:node:45639	4
abus de biens sociaux	idiom	strong idiom	locution nominale	True	0.981125	ls:fr:node:51636	4
accident vasculaire cérébral	idiom	semi-idiom	locution nominale	True	0.990776	ls:fr:node:53920	7
accorder ses violons	verbal_phrase	strong idiom	locution verbale	True	0.964325	ls:fr:node:43660	7
accuser le coup	verbal_phrase	semi-idiom	locution verbale	True	0.996235	ls:fr:node:40991	16
accuser le coup	verbal_phrase	strong idiom	locution verbale	True	0.999351	ls:fr:node:54391	16
acte criminel	idiom	weak idiom	locution nominale	True	0.326573	ls:fr:node:32982	2
acte de présence	idiom	semi-idiom	locution nominale	True	0.998875	ls:fr:node:44717	6
acte médical	idiom	weak idiom	locution nominale	True	0.392472	ls:fr:node:54151	2
actif net comptable	idiom	weak idiom	locution nominale	True	0.702601	ls:fr:node:51762	3
Adieu veau, vache, cochon, couvée !	idiom	strong idiom	locution interjective	False	0.144177	ls:fr:node:42535	5
adresse courriel	idiom	weak idiom	locution nominale	True	0.943962	ls:fr:node:47470	2
adresse de courrier électronique	idiom	weak idiom	locution nominale	True	0.994816	ls:fr:node:47467	4
adresse e-mail	idiom	weak idiom	locution nominale	True	0.991288	ls:fr:node:47469	3
adresse mail	idiom	weak idiom	locution nominale	False	0.0261027	ls:fr:node:47468	2
adresse électronique	idiom	weak idiom	locution nominale	True	0.993807	ls:fr:node:47461	2
aimer bien	verbal_phrase	semi-idiom	locution verbale	False	0.320051	ls:fr:node:44832	2
air de famille	idiom	semi-idiom	locution nominale	True	0.996374	ls:fr:node:39472	3
aire de jeux	idiom	semi-idiom	locution nominale	True	0.997874	ls:fr:node:55012	3
aire de jeux	idiom	weak idiom	locution nominale	True	0.984955	ls:fr:node:55008	3
alcool à brûler	idiom	weak idiom	locution nominale	True	0.997763	ls:fr:node:41483	3
Alcooliques Anonymes	idiom	weak idiom	locution nominale	True	0.35745	ls:fr:node:41972	2
aller aux fraises	verbal_phrase	strong idiom	locution verbale	False	0.160781	ls:fr:node:39571	3
aller aux toilettes	verbal_phrase	weak idiom	locution verbale	True	0.986538	ls:fr:node:42582	3
aller chercher	verbal_phrase	semi-idiom	locution verbale	False	0.368914	ls:fr:node:53321	3
aller chercher	verbal_phrase	strong idiom	locution verbale	True	0.629726	ls:fr:node:45677	6
aller de l’avant	verbal_phrase	strong idiom	locution verbale	True	0.949908	ls:fr:node:54393	4
aller voir	verbal_phrase	semi-idiom	locution verbale	True	0.968448	ls:fr:node:53371	4
aller voir ailleurs	verbal_phrase	strong idiom	locution verbale	True	0.948135	ls:fr:node:48012	10
aller à la selle	verbal_phrase	strong idiom	locution verbale	True	0.994268	ls:fr:node:49158	4
aller à l’essentiel	verbal_phrase	semi-idiom	locution verbale	True	0.978002	ls:fr:node:54692	4
allonger la sauce	verbal_phrase	strong idiom	locution verbale	True	0.976101	ls:fr:node:45442	3
allonger le tir	verbal_phrase	semi-idiom	locution verbale	True	0.593231	ls:fr:node:45445	3
amortissement dérogatoire	idiom	weak idiom	locution nominale	False	0.0010736	ls:fr:node:51811	2
amortissement linéaire	idiom	semi-idiom	locution nominale	False	0.155397	ls:fr:node:51814	2
amuser le tapis	verbal_phrase	strong idiom	locution verbale	True	0.735476	ls:fr:node:46212	7
Amérique du Nord	idiom	weak idiom	locution nominale	True	0.999165	ls:fr:node:46795	3
Amérique du Sud	idiom	weak idiom	locution nominale	True	0.997942	ls:fr:node:46796	3
Ancien Régime	idiom	weak idiom	locution nominale	True	0.895753	ls:fr:node:54457	4
ange gardien	idiom	strong idiom	locution nominale	True	0.947046	ls:fr:node:52850	2
ange gardien	idiom	weak idiom	locution nominale	True	0.759214	ls:fr:node:52849	2
angine de poitrine	idiom	strong idiom	locution nominale	True	0.998723	ls:fr:node:44377	3
animal de cirque	idiom	strong idiom	locution nominale	True	0.854708	ls:fr:node:40026	3
animal de compagnie	idiom	weak idiom	locution nominale	True	0.999945	ls:fr:node:46595	3
animal de ferme	idiom	weak idiom	locution nominale	True	0.995782	ls:fr:node:46594	3
animal de foire	idiom	strong idiom	locution nominale	True	0.995201	ls:fr:node:40032	3
animal de scène	idiom	semi-idiom	locution nominale	True	0.974814	ls:fr:node:40028	3
animal domestique	idiom	weak idiom	locution nominale	True	0.97344	ls:fr:node:46596	2
animal d’élevage	idiom	weak idiom	locution nominale	True	0.695263	ls:fr:node:47446	3
animal politique	idiom	semi-idiom	locution nominale	False	0.0128267	ls:fr:node:40025	2
annoncer la couleur	verbal_phrase	strong idiom	locution verbale	True	0.998701	ls:fr:node:43677	11
anémone de mer	idiom	semi-idiom	locution nominale	True	0.994502	ls:fr:node:56047	3
appareil de nettoyage	idiom	weak idiom	locution nominale	True	0.994125	ls:fr:node:39210	3
appareil informatique	idiom	weak idiom	locution nominale	True	0.726595	ls:fr:node:51386	2
appareil photo	idiom	weak idiom	locution nominale	True	0.992356	ls:fr:node:36613	2
appareil photographique	idiom	weak idiom	locution nominale	True	0.339418	ls:fr:node:36615	2
appareil téléphonique	idiom	weak idiom	locution nominale	False	0.0409584	ls:fr:node:39252	2
appareil électroménager	idiom	weak idiom	locution nominale	False	0.000701937	ls:fr:node:35737	2
appel de fonds	idiom	weak idiom	locution nominale	True	0.848528	ls:fr:node:51740	3
appeler un chat un chat	verbal_phrase	strong idiom	locution verbale	True	0.990789	ls:fr:node:43430	5
après coup	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.531986	ls:fr:node:40579	2
arbre de Noël	idiom	weak idiom	locution nominale	True	0.999083	ls:fr:node:53758	27
arbre à chat	idiom	semi-idiom	locution nominale	True	0.991888	ls:fr:node:55327	3
arbre à fesses	idiom	strong idiom	locution nominale	True	0.74982	ls:fr:node:41213	3
arme blanche	idiom	semi-idiom	locution nominale	False	0.064654	ls:fr:node:35197	2
arme de jet	idiom	weak idiom	locution nominale	True	0.924271	ls:fr:node:47479	3
arme à feu	idiom	weak idiom	locution nominale	True	0.99943	ls:fr:node:41755	3
armoire de fer	idiom	semi-idiom	locution nominale	True	0.53803	ls:fr:node:40889	3
armoire forte	idiom	semi-idiom	locution nominale	True	0.232561	ls:fr:node:46648	2
armoire normande	idiom	semi-idiom	locution nominale	False	0.00156548	ls:fr:node:47951	2
armoire normande	idiom	strong idiom	locution nominale	False	5.23665e-05	ls:fr:node:40923	4
armoire à glace	idiom	strong idiom	locution nominale	True	0.591567	ls:fr:node:40838	3
armoire à glace	idiom	weak idiom	locution nominale	True	0.967815	ls:fr:node:47950	12
armée mexicaine	idiom	strong idiom	locution nominale	False	0.0234192	ls:fr:node:53125	6
arracheur de dents	idiom	strong idiom	locution nominale	True	0.988832	ls:fr:node:48429	3
arrondir les angles	verbal_phrase	strong idiom	locution verbale	True	0.99246	ls:fr:node:54617	3
