phrase	scoring_form	surface_forms	sources	types	pos	idiom_strength	idiom_r1	idiom_source_ids	source_rows	flelex_match	lexical_score	frequency_total	flelex_rarity_score	rarity_score	cefr_proxy_score	semantic_opacity	structural_complexity	register_score	construction_fixedness	idiom_strength_score	confidence_idiom_score	type_score	length_score	confidence_score	difficulty_score
bien sûr	bien sûr	bien sûr	dela|idiom	fixed_expression	adverb|locution adjectivale	strong idiom	True	ls:fr:node:26496	3	exact	0.2959	226.8736	0.0000	0.0000	0.0500	0.1500	0.2000	0.3000	0.1000	0.9000	0.9000	0.4500	0.2000	0.4527	0.0800
appareil photo	appareil photo	appareil photo	dela|idiom	idiom|nominal_phrase	locution nominale|noun	weak idiom	True	ls:fr:node:36613	3	tokens	0.2970	78.1678	0.0449	0.0449	0.4000	0.1500	0.2000	0.3000	0.1000	0.3000	0.3500	0.7500	0.2000	0.3459	0.1757
aimer bien	aimer bien	aimer bien	idiom	verbal_phrase	locution verbale	semi-idiom	False	ls:fr:node:44832	2	tokens	0.2750	938.5313	0.0000	0.0000	0.1625	0.6000	0.2000	0.3000	0.3000	0.6000	0.6000	0.5000	0.2000	0.3713	0.1796
aller voir	aller voir	aller voir	idiom	verbal_phrase	locution verbale	semi-idiom	True	ls:fr:node:53371	4	tokens	0.2643	2331.5733	0.0000	0.0000	0.1625	0.6000	0.2000	0.3000	0.3000	0.6000	0.6000	0.5000	0.2000	0.3654	0.1796
au lit	au lit	au lit	idiom	prepositional_phrase	locution prépositionnelle	semi-idiom	True	ls:fr:node:42871	10	exact	0.4351	0.0783	0.9837	0.2500	0.0500	0.1500	0.2000	0.3000	0.1000	0.6000	0.6000	0.2500	0.2000	0.4343	0.1865
animal politique	animaux politiques	animal politique|animaux politiques	dela|idiom	idiom|nominal_phrase	locution nominale|noun	semi-idiom	False	ls:fr:node:40025	4	tokens	0.5302	157.1768	0.0000	0.0000	0.1625	0.6000	0.2000	0.9000	0.5500	0.6000	0.6000	0.7500	0.2000	0.5366	0.2281
à cause de	à cause des	à cause d'|à cause de|à cause des|à cause du	dela	prepositional_phrase	prep				4	exact	0.3674	69.0559	0.0793	0.2500	0.2500	0.1500	0.4000	0.3000	0.1000	0.0000	0.0000	0.2500	0.4000	0.2671	0.2285
aller chercher	aller chercher	aller chercher	idiom	verbal_phrase	locution verbale	strong idiom	False|True	ls:fr:node:45677|ls:fr:node:53321	9	tokens	0.2419	507.7936	0.0000	0.0000	0.1625	0.9500	0.2000	0.3000	0.3000	0.9000	0.9000	0.5000	0.2000	0.4281	0.2381
association d'idées	association d'idées	association d'idées	idiom	idiom	locution nominale	strong idiom	True	ls:fr:node:47733	3	tokens	0.4837	193.1167	0.0000	0.0000	0.1625	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.2000	0.5860	0.2506
tout à fait	tout à fait	tout à fait	dela	fixed_expression	adverb				1	exact	0.4720	35.0887	0.2230	0.2230	0.3705	0.1500	0.4000	0.3000	0.3500	0.0000	0.0000	0.4500	0.4000	0.3446	0.2590
